Index,Object,Intent,Session,GraspType,GraspTypeIndex,Rank,Error,PoseIndex,HandConfiguration,Image
150,banana,use,1,Precision,6,4,-0.004385,2085,"3,0.829029,0.0529319,-0.556695,0.00109153,0.0699255,0.977883,0.197113,-0.0243379,0.554816,-0.20234,0.806993,-0.0305065,0.0666912,1.0114,0.896641,1.4454",screenshots/banana_1_use.png
9,apple,handoff,10,Precision Sphere,5,1,-0.115324,900,"0,-0.900146,0.422097,-0.107565,0.032014,0.424803,0.905282,-0.00249166,-0.0128694,0.096325,-0.0479368,-0.994195,0.147339,0.540983,1.02361,1.50631,1.13342",screenshots/apple_10_handoff.png
10,apple,handoff,11,Power Sphere,4,1,-0.091026999999999997,2784,"0,-0.806278,-0.521559,0.279091,0.0168298,-0.311385,-0.0269309,-0.949902,0.0661186,0.502946,-0.852791,-0.140692,0.0421802,1.09978,1.09724,0.821119,1.24615",screenshots/apple_11_handoff.png
11,apple,handoff,12,Power Sphere,4,3,0.040575,2588,"2,0.10677,-0.839852,-0.532211,0.0330079,0.375274,-0.461641,0.803777,-0.0212838,-0.920744,-0.285544,0.265885,0.0114478,0.235842,1.00589,1.24465,1.10476",screenshots/apple_12_handoff.png
12,apple,handoff,13,Power Sphere,4,1,-0.145762,292,"0,-0.739181,-0.204922,0.641575,-0.0273598,-0.597732,-0.239374,-0.765125,0.0339176,0.310368,-0.949056,0.0544523,0.0402647,1.32871,1.11718,1.48341,1.14179",screenshots/apple_13_handoff.png
13,apple,handoff,14,Power Sphere,4,1,0.105715,1224,"0,0.351843,0.765837,-0.538238,0.0216018,0.676571,0.189308,0.711628,-0.0439617,0.646884,-0.614537,-0.451537,0.0523241,1.6388,1.25419,0.118549,1.29793",screenshots/apple_14_handoff.png
58,apple,use,9,Power Sphere,4,1,0.057299999999999997,160,,screenshots/apple_9_use.png
59,apple,use,10,Medium Wrap,2,2,0.104396,796,"1,0.532542,-0.766566,-0.358855,0.0240057,-0.143424,0.336116,-0.930836,0.0632379,0.834163,0.547178,0.0690517,0.0427261,0.0167617,1.1976,1.12994,1.12252",screenshots/apple_10_use.png
60,apple,use,11,Power Sphere,4,1,-0.057452000000000003,1752,"0,-0.390927,-0.0848955,0.916498,-0.041098,-0.217871,0.975974,-0.00252646,0.00276902,-0.894264,-0.200666,-0.400031,0.0713469,1.02173,1.07068,1.42973,1.27215",screenshots/apple_11_use.png
61,apple,use,12,Power Sphere,4,1,-0.089360999999999996,781,"0,-0.425556,0.779193,-0.460174,0.0217732,0.348961,-0.327886,-0.877904,0.0428691,-0.834942,-0.534181,-0.132374,0.0585759,1.4582,1.4051,0.830629,1.34616",screenshots/apple_12_use.png
62,apple,use,13,Power Sphere,4,8,0.098071000000000005,1772,"7,-0.357672,0.187176,0.914896,-0.0493761,-0.925039,-0.205257,-0.319644,-0.00461467,0.127959,-0.960643,0.24656,0.0430414,1.02336,1.17227,1.38271,1.42715",screenshots/apple_13_use.png
63,apple,use,14,Power Sphere,4,1,0.110079,2520,"0,-0.210439,-0.949884,0.231162,-0.0135079,-0.726981,-0.00604004,-0.68663,0.0452522,0.653615,-0.312545,-0.689276,0.0638525,1.36498,1.32256,0,1.21442",screenshots/apple_14_use.png
64,apple,use,15,Medium Wrap,2,5,-0.047481000000000002,1780,"4,-0.0423856,0.368527,0.928649,-0.0509395,-0.230913,0.900706,-0.367978,0.0502895,-0.97205,-0.230034,0.0469209,0.0263203,0,1.03848,1.17409,0.900241",screenshots/apple_15_use.png
65,apple,use,16,Power Sphere,4,1,-0.0072049999999999996,285,"0,-0.267508,-0.44523,-0.854523,0.0394437,-0.356072,0.869745,-0.341693,0.0245956,0.89535,0.212866,-0.391198,0.0674997,0.92366,1.35528,0.737476,1.21086",screenshots/apple_16_use.png
109,banana,handoff,10,Precision,6,3,0.155807,1269,"2,-0.850756,-0.02662,-0.524885,0.0262679,0.295551,-0.850067,-0.43593,0.0686351,-0.434583,-0.526001,0.731068,-0.0416111,0.122115,1.31848,0.244103,1.17508",screenshots/banana_10_handoff.png
110,banana,handoff,11,Power Sphere,4,1,0.077240000000000003,2813,"0,-0.27623,0.954662,-0.110979,0.0671446,-0.808516,-0.293253,-0.5102,0.059239,-0.519614,-0.051204,0.852865,0.0191445,2.03391,1.73835,0,1.5609",screenshots/banana_11_handoff.png
111,banana,handoff,12,Precision Sphere,5,3,0.194101,189,"2,-0.0412215,0.994786,-0.0932804,0.0195914,0.444442,-0.0653591,-0.89342,0.0941864,-0.894859,-0.0782861,-0.43943,0.0706273,0.174981,1.10886,1.5368,0.480145",screenshots/banana_12_handoff.png
112,banana,handoff,13,Power Sphere,4,3,0.092719999999999997,69,"2,-0.0498796,-0.0735639,0.996042,-0.108612,0.643138,0.760632,0.0883844,-0.0210667,-0.764123,0.645002,0.00937166,-0.00391303,0.197797,1.1441,0.946471,1.63427",screenshots/banana_13_handoff.png
113,banana,handoff,14,Power Sphere,4,1,0.135572,3193,"0,0.218411,0.975223,-0.0351584,-0.00955537,0.148813,-0.0688919,-0.986462,0.0664496,-0.964443,0.210222,-0.160173,0.0502958,0.197894,0.556257,1.41361,0.494757",screenshots/banana_14_handoff.png
114,banana,handoff,15,Power Sphere,4,4,-0.0041910000000000003,761,,screenshots/banana_15_handoff.png
115,banana,handoff,16,Precision Sphere,5,1,0.13830999999999999,2401,"0,0.807251,-0.12746,0.57628,-0.0414369,-0.0872743,0.93989,0.330135,-0.0165121,-0.583719,-0.316797,0.747604,-0.0415357,0.574629,1.24366,1.16736,1.51408",screenshots/banana_16_handoff.png
151,banana,use,2,Precision,6,8,0.034925999999999999,1211,"7,-0.100429,0.358347,-0.928171,0.144968,-0.774099,-0.614204,-0.153373,0.0482204,-0.625047,0.703093,0.339081,0.00684161,0.081849,1.17759,2.10046,1.19504",screenshots/banana_2_use.png
152,banana,use,3,Precision,6,2,0.083089999999999997,224,"1,0.906883,-0.412351,-0.086783,-0.0193183,0.132622,0.474786,-0.870052,0.0934201,0.39997,0.777525,0.485262,-0.026282,0.0263474,1.24211,1.07138,1.39222",screenshots/banana_3_use.png
153,banana,use,4,Precision,6,1,-0.062601000000000004,2741,"0,-0.878831,-0.0916317,-0.468251,0.0696469,-0.312517,0.852119,0.419794,0.0060716,0.360539,0.515264,-0.777505,0.104359,0.139125,1.30505,0.914511,1.16984",screenshots/banana_4_use.png
154,banana,use,5,Invalid,7,12,0.098891999999999994,1414,,screenshots/banana_5_use.png
156,banana,use,7,Precision Sphere,5,3,0.092459,2063,"2,0.00217481,-0.511252,0.859428,-0.13214,0.896926,-0.37902,-0.22774,0.0524135,0.442173,0.771339,0.457732,-0.0254942,0.0434001,1.35721,1.18337,1.05233",screenshots/banana_7_use.png
157,banana,use,8,Power Sphere,4,5,-0.019916,2813,"4,-0.172556,0.840566,-0.513489,0.0294415,-0.577852,-0.508563,-0.638318,0.0573755,-0.797691,0.186576,0.573479,0.0280636,1.90279,1.9589,0.369696,1.5609",screenshots/banana_8_use.png
158,banana,use,9,Power Sphere,4,1,0.095760999999999999,849,"0,-0.624452,0.240812,-0.743013,0.0939334,-0.522959,0.577678,0.626738,-0.0589451,0.580148,0.779934,-0.234798,0.00395188,0.112141,1.24358,1.06487,1.46414",screenshots/banana_9_use.png
159,banana,use,10,Power Sphere,4,1,-0.060618999999999999,2132,"0,-0.859277,0.170501,-0.482257,-0.0102364,-0.141641,0.826631,0.544628,-0.0145014,0.491508,0.536294,-0.686156,0.0598539,0.0424723,1.31051,1.36639,1.1753",screenshots/banana_10_use.png
160,banana,use,11,Precision Sphere,5,1,0.135019,523,"0,-0.0544155,-0.929292,0.365317,-0.0292899,-0.82126,-0.166446,-0.545735,0.090647,0.567952,-0.329717,-0.754133,0.120712,0.0910632,0.871458,0.781045,0.952544",screenshots/banana_11_use.png
161,banana,use,12,Precision,6,3,0.14822299999999999,21,"2,-0.646934,-0.0031357,-0.76254,0.137852,-0.759557,0.0911088,0.644029,-0.039973,0.0674545,0.995835,-0.0613231,0.0614254,0,2.37424,1.42389,1.01667",screenshots/banana_12_use.png
162,banana,use,13,Power Sphere,4,2,0.147092,69,"1,-0.0339859,-0.220825,0.974721,-0.107817,0.657547,0.729527,0.188203,-0.0150755,-0.752646,0.647322,0.12041,-0.00757283,0.112197,1.07054,0.74322,1.6069",screenshots/banana_13_use.png
163,banana,use,14,Power Sphere,4,1,0.18354799999999999,69,"0,-0.044511,-0.179238,0.982798,-0.110461,0.673959,0.720793,0.161978,-0.0133124,-0.737427,0.669575,0.0887158,-0.00978384,0.133304,1.18069,0.962515,1.46849",screenshots/banana_14_use.png
164,banana,use,15,Precision,6,1,-0.044678000000000002,2032,"0,-0.915336,-0.18635,0.356978,-0.047145,0.273586,-0.938256,0.21172,0.00429173,0.295483,0.29146,0.909803,-0.0350634,0.168072,1.44042,0.00517158,1.22996",screenshots/banana_15_use.png
165,banana,use,16,Power Sphere,4,1,0.104778,69,"0,-0.0106321,-0.189093,0.981901,-0.114075,0.632694,0.759128,0.153043,-0.0170912,-0.774328,0.622871,0.111567,-0.0117118,0.0942702,1.1216,1.05406,1.42219",screenshots/banana_16_use.png
200,bowl,handoff,1,Large Wrap,1,7,-0.026429999999999999,28,"6,-0.191673,0.926526,0.323744,-0.0264572,0.104087,0.34719,-0.932,0.0615733,-0.975924,-0.144942,-0.162986,0.088176,0,0.442418,2.51327,0.783889",screenshots/bowl_1_handoff.png
201,bowl,handoff,2,Precision Sphere,5,7,-0.132406,2543,"6,0.486067,-0.718621,0.497314,-0.0380483,-0.814503,-0.578763,-0.0402329,0.0146857,0.316739,-0.385508,-0.866637,0.163547,0.0718454,0.691526,0.508879,0.812984",screenshots/bowl_2_handoff.png
202,bowl,handoff,3,Power Sphere,4,1,-0.193462,101,"0,0.403052,-0.602601,-0.688783,0.0629471,-0.401189,0.560111,-0.724791,0.0484345,0.822555,0.568461,-0.0160035,0.0530249,1.90255,1.44374,1.0086,0.905418",screenshots/bowl_3_handoff.png
203,bowl,handoff,4,Large Wrap,1,1,-0.089535000000000003,2987,"0,0.0612577,-0.975334,0.212064,0.0113218,-0.342498,-0.220103,-0.913373,0.0931643,0.937519,-0.0166803,-0.347533,0.0870747,0.00170806,0.468119,0.485808,1.00245",screenshots/bowl_4_handoff.png
204,bowl,handoff,5,Small Wrap,3,1,-0.14696000000000001,1548,"0,-0.394336,-0.566013,0.723967,0.0343237,-0.831925,-0.114789,-0.542885,-0.0469065,0.390383,-0.816366,-0.425615,0.0937448,3.11245,2.33655,1.92946,2.04895",screenshots/bowl_5_handoff.png
205,bowl,handoff,6,Invalid,7,12,-0.10009899999999999,2699,,screenshots/bowl_6_handoff.png
206,bowl,handoff,7,Large Wrap,1,1,-0.031385999999999997,1316,"0,0.466121,-0.180789,-0.866052,0.072328,-0.334042,-0.942406,0.0169417,0.00280469,-0.819235,0.281401,-0.499666,0.107716,0.131797,0.786717,1.72792,0.746545",screenshots/bowl_7_handoff.png
207,bowl,handoff,8,Large Wrap,1,1,-0.170488,2600,"0,0.214961,-0.828612,0.516907,-0.0365871,0.244362,-0.466811,-0.849927,0.0683283,0.945557,0.309014,0.102135,0.0548787,0.0341916,2.44926,0.654504,0.617293",screenshots/bowl_8_handoff.png
208,bowl,handoff,9,Large Wrap,1,2,-0.046677000000000003,1100,"1,-0.00770105,-0.997799,-0.065865,0.0201591,0.247719,-0.0657174,0.9666,-0.0736142,-0.968801,-0.00887217,0.24768,0.048408,0,0.48119,1.64945,0.555803",screenshots/bowl_9_handoff.png
209,bowl,handoff,10,Large Wrap,1,1,-0.173814,1471,"0,-0.28799,0.658722,-0.695088,0.0683682,0.349878,0.748037,0.563939,-0.0519771,0.891429,-0.080787,-0.445899,0.102169,0.117852,0.751078,0.359038,0.649618",screenshots/bowl_10_handoff.png
210,bowl,handoff,11,Large Wrap,1,10,0.034906,1099,"9,-0.000499256,-0.88403,-0.46743,0.0216625,-0.00394632,-0.467425,0.884024,-0.105964,-0.999992,0.00228585,-0.0032552,0.0515025,0,0.800919,0.836317,0.570826",screenshots/bowl_11_handoff.png
211,bowl,handoff,12,Power Sphere,4,1,-0.199239,1585,,screenshots/bowl_12_handoff.png
212,bowl,handoff,13,Precision Sphere,5,1,-0.028107,1663,"0,-0.0660943,0.815942,-0.574341,0.0215849,0.985285,0.144293,0.091606,0.00208707,0.157619,-0.559836,-0.813474,0.15622,0.876743,0.988329,0.60968,0.994939",screenshots/bowl_13_handoff.png
213,bowl,handoff,14,Large Wrap,1,1,0.149177,1624,"0,-0.0254804,0.859705,-0.510156,0.0409549,-0.210992,-0.503449,-0.837866,0.0694681,-0.977156,0.0862899,0.194219,0.0692714,0.111161,0.711602,1.20503,0.614413",screenshots/bowl_14_handoff.png
214,bowl,handoff,15,Large Wrap,1,1,0.034680999999999997,30,"0,-0.0644796,0.947817,0.312225,-0.0197164,0.565844,0.292443,-0.770907,0.0440465,-0.821987,0.126963,-0.555173,0.127099,0.108187,0.773754,2.37308,0.757914",screenshots/bowl_15_handoff.png
215,bowl,handoff,16,Large Wrap,1,1,-0.051617000000000003,2942,"0,0.344711,0.808921,0.476258,-0.0382124,0.30679,-0.576576,0.757257,-0.0753631,0.88716,-0.114924,-0.446921,0.0967974,0.1182,0.766116,0.257073,0.634222",screenshots/bowl_16_handoff.png
250,bowl,use,1,Large Wrap,1,1,-0.053524000000000002,2925,"0,-0.351846,-0.690907,0.631546,-0.0488136,-0.0932279,0.697198,0.71079,-0.066238,-0.931404,0.191211,-0.309718,0.0938226,0.0784181,0.710277,1.93253,0.794699",screenshots/bowl_1_use.png
251,bowl,use,2,Precision,6,8,-0.184304,85,"7,-0.80109,0.0686961,-0.594588,0.0990144,-0.0218017,0.989383,0.143683,-0.0302949,0.598146,0.128066,-0.791088,0.1291,0,2.51327,0.882747,0.993781",screenshots/bowl_2_use.png
252,bowl,use,3,Large Wrap,1,1,-0.058931999999999998,1468,"0,-0.220785,0.641201,-0.734924,0.0702222,0.374679,0.75146,0.543068,-0.0553238,0.900482,-0.155459,-0.406156,0.0595215,0.194009,0.792873,0,0.808331",screenshots/bowl_3_use.png
253,bowl,use,4,Large Wrap,1,2,-0.074270000000000003,1098,"1,-0.167343,-0.980652,-0.10158,0.0429533,0.111655,-0.121221,0.986325,-0.0952284,-0.979556,0.153713,0.12978,0.0668586,0.0328418,0.558896,0.205366,0.722123",screenshots/bowl_4_use.png
254,bowl,use,5,Medium Wrap,2,1,-0.154945,2019,"0,0.85274,0.171164,-0.493496,0.0595347,0.512294,-0.0896888,0.854114,-0.0592079,0.101932,-0.981152,-0.164167,0.0651385,0,0.809703,1.00679,1.47394",screenshots/bowl_5_use.png
255,bowl,use,6,Large Wrap,1,1,0.083586999999999995,1316,"0,0.610301,-0.116029,-0.783626,0.0647764,-0.218826,-0.975417,-0.025999,0.00638648,-0.761346,0.187345,-0.620688,0.122202,0.132354,0.736667,1.74175,0.746545",screenshots/bowl_6_use.png
256,bowl,use,7,Large Wrap,1,1,0.021718000000000001,1348,"0,0.0361178,0.260398,0.964826,-0.0861849,0.193367,0.945389,-0.262391,0.00262384,-0.980461,0.196042,-0.0162071,0.0776608,0.169232,0.602671,1.02251,1.03642",screenshots/bowl_7_use.png
257,bowl,use,8,Precision,6,1,0.003039,276,,screenshots/bowl_8_use.png
258,bowl,use,9,Large Wrap,1,1,0.12052400000000001,524,"0,-0.194081,-0.669025,0.717453,-0.0680245,0.258542,0.670617,0.69529,-0.0490908,-0.946303,0.320434,0.0428168,0.0670823,0.0354999,0.843652,2.43854,0.653185",screenshots/bowl_9_use.png
259,bowl,use,10,Precision Sphere,5,1,-0.051526000000000002,2588,,screenshots/bowl_10_use.png
260,bowl,use,11,Large Wrap,1,1,0.112538,524,"0,-0.135972,-0.600593,0.787908,-0.0592694,0.267648,0.743454,0.612895,-0.0549038,-0.953874,0.294219,0.0596592,0.0624738,0.115613,0.724928,1.74605,0.753593",screenshots/bowl_11_use.png
261,bowl,use,12,Precision Sphere,5,1,-0.020830999999999999,2088,"0,0.0957037,-0.977318,0.188919,0.034801,-0.93001,-0.155449,-0.33304,0.0182383,0.354853,-0.143823,-0.923793,0.122087,1.33539,1.24135,1.00501,1.18661",screenshots/bowl_12_use.png
262,bowl,use,13,Large Wrap,1,1,0.0016969999999999999,1624,"0,0.0627794,0.864721,-0.498313,0.0270804,-0.238011,-0.47192,-0.848906,0.087843,-0.96923,0.171898,0.176187,0.0632904,0.149735,0.538703,1.08217,0.93517",screenshots/bowl_13_use.png
265,bowl,use,16,Large Wrap,1,1,0.100067,540,"0,0.2548,0.670288,0.696987,-0.0761125,-0.153448,-0.683616,0.713527,-0.0544378,0.954741,-0.288759,-0.071331,0.0613874,0.0947758,0.634753,0,0.848163",screenshots/bowl_16_use.png
300,cell_phone,handoff,1,Precision,6,1,-0.244371,1632,"0,0.999218,-0.0360575,0.0161881,-0.0305589,-0.0361775,-0.999319,0.00718625,0.000149459,0.0159179,-0.00776626,-0.999842,0.112285,0.0103945,1.17061,1.15772,1.18443",screenshots/cell_phone_1_handoff.png
301,cell_phone,handoff,2,Precision,6,1,-0.24205299999999999,1124,"0,0.824582,-0.154293,-0.544296,0.0459267,-0.209305,-0.977026,-0.0401259,-2.6586e-05,-0.525601,0.147011,-0.837933,0.100355,0.0243049,1.24483,0.75351,1.14945",screenshots/cell_phone_2_handoff.png
302,cell_phone,handoff,3,Precision,6,1,-0.15817899999999999,2392,"0,0.0532997,0.385403,0.921207,-0.111443,0.018501,0.921979,-0.386796,0.0757144,-0.998407,0.0376594,0.0420109,0.0130192,0.200092,1.60374,1.94013,0.804002",screenshots/cell_phone_3_handoff.png
303,cell_phone,handoff,4,Power Sphere,4,2,0.014505000000000001,3077,"1,-0.111096,-0.151251,0.982232,-0.112192,-0.148524,0.979778,0.134074,-0.0128346,-0.982649,-0.13099,-0.131314,0.0228169,0,2.06387,1.88396,1.3367",screenshots/cell_phone_4_handoff.png
304,cell_phone,handoff,5,Precision,6,1,-0.16435,1985,"0,0.978755,0.171338,0.11261,0.017435,-0.166485,0.984711,-0.0512425,0.000167368,-0.119668,0.031406,0.992317,-0.0865297,0,1.14117,1.14923,1.21064",screenshots/cell_phone_5_handoff.png
305,cell_phone,handoff,6,Precision Sphere,5,1,-0.084416000000000005,2055,"0,0.697899,-0.715902,-0.0205038,0.00261705,0.152333,0.176354,-0.972468,0.104999,0.699808,0.675561,0.232133,-0.0134752,0.289528,1.13994,1.40159,1.34847",screenshots/cell_phone_6_handoff.png
306,cell_phone,handoff,7,Precision Sphere,5,1,-0.073746999999999993,1387,"0,0.189049,-0.177571,0.965779,-0.105972,0.930545,-0.281701,-0.233947,0.0382064,0.313603,0.942928,0.111982,-0.0465553,0.131442,1.3122,0.796768,1.51917",screenshots/cell_phone_7_handoff.png
307,cell_phone,handoff,8,Precision,6,1,-0.129603,3121,"0,-0.974406,-0.143659,-0.172898,0.0264214,-0.150087,0.988366,0.0246285,-0.00850128,0.167349,0.0499482,-0.984631,0.110924,0.00306745,1.1009,1.15819,1.24932",screenshots/cell_phone_8_handoff.png
308,cell_phone,handoff,9,Precision Sphere,5,1,-0.040379999999999999,217,"0,-0.158047,-0.193185,-0.968349,0.0950835,0.0267529,-0.981153,0.191373,-0.0651742,-0.987069,0.0043394,0.160236,0.00113207,0.32396,1.46513,1.91099,0.771749",screenshots/cell_phone_9_handoff.png
309,cell_phone,handoff,10,Precision,6,2,0.053130999999999998,3125,"1,-0.947106,-0.0720888,0.312717,-0.028646,-0.112433,0.98722,-0.112941,-0.0211317,-0.300579,-0.142127,-0.943108,0.0975735,0.0221395,1.14257,0.962507,1.3895",screenshots/cell_phone_10_handoff.png
310,cell_phone,handoff,11,Power Sphere,4,3,0.044261000000000002,1451,"2,0.122785,0.0525526,0.99104,-0.106027,0.686593,-0.725547,-0.0465911,0.0206803,0.716598,0.686162,-0.125168,0.0158857,0,2.32278,1.54535,1.44498",screenshots/cell_phone_11_handoff.png
311,cell_phone,handoff,12,Precision Sphere,5,6,-0.179843,568,"5,0.203116,0.844342,0.495812,-0.0950399,0.975349,-0.129864,-0.178413,0.0552053,-0.086254,0.519828,-0.849905,0.0912187,1.52596,1.54095,1.0647,1.40416",screenshots/cell_phone_12_handoff.png
312,cell_phone,handoff,13,Precision,6,2,-0.065284999999999996,516,"1,0.95309,-0.285036,0.101852,-0.0414897,0.269389,0.95221,0.14396,-0.0327663,-0.138018,-0.10977,0.984328,-0.0802694,0.0456129,1.06681,0.91461,1.34681",screenshots/cell_phone_13_handoff.png
